	gene
POU2F2	POU2F2
KCNJ2	KCNJ2
GNAT1	GNAT1
MARCOL	MARCOL
CHAD	CHAD
NOP53	NOP53
CEP170	CEP170
ZNF302	ZNF302
UBQLN3	UBQLN3
CLVS2	CLVS2
TRIR	TRIR
ANO3	ANO3
ADAMTS13	ADAMTS13
MAP3K3	MAP3K3
ATG5	ATG5
AHDC1	AHDC1
KLF13	KLF13
BDNF	BDNF
SMIM31	SMIM31
TSC22D1	TSC22D1
SMIM17	SMIM17
C16orf90	C16orf90
TUSC3	TUSC3
COA5	COA5
DBN1	DBN1
GPM6A	GPM6A
NDNF	NDNF
GJA1	GJA1
SCAF8	SCAF8
FAM126A	FAM126A
ADAMTS17	ADAMTS17
LAG3	LAG3
OR2L3	OR2L3
PRCD	PRCD
RHOT1	RHOT1
AL391650.1	AL391650.1
FAM9C	FAM9C
SCNN1G	SCNN1G
GTF3C1	GTF3C1
TBC1D16	TBC1D16
ZNF254	ZNF254
MTPN	MTPN
IGFBP6	IGFBP6
UBXN2B	UBXN2B
FGFBP1	FGFBP1
MRPS31	MRPS31
NOP58	NOP58
NCKIPSD	NCKIPSD
ALG2	ALG2
SMS	SMS
RMC1	RMC1
UQCRC2	UQCRC2
GOLGA6L10	GOLGA6L10
C16orf89	C16orf89
ADRA1D	ADRA1D
AGPAT4	AGPAT4
UBE2T	UBE2T
MYO1H	MYO1H
ZNF80	ZNF80
ZNF225	ZNF225
MEGF9	MEGF9
MGAT5	MGAT5
ECM1	ECM1
RHPN2	RHPN2
TNFRSF19	TNFRSF19
UBE2D2	UBE2D2
VPREB3	VPREB3
CRISPLD2	CRISPLD2
GNG11	GNG11
PEX13	PEX13
IBSP	IBSP
KCNB2	KCNB2
NOP2	NOP2
NCKAP1L	NCKAP1L
MORC4	MORC4
CFLAR	CFLAR
CHRND	CHRND
CATSPERG	CATSPERG
LEAP2	LEAP2
RFX8	RFX8
SFT2D2	SFT2D2
WBP11	WBP11
OSMR	OSMR
IGSF3	IGSF3
TACR3	TACR3
COL4A4	COL4A4
VSIG2	VSIG2
SYT12	SYT12
SMG1	SMG1
USE1	USE1
CLUL1	CLUL1
SAP30BP	SAP30BP
PPP6R2	PPP6R2
FLVCR2	FLVCR2
CNOT4	CNOT4
MLH3	MLH3
MEIOB	MEIOB
PRM1	PRM1
ZBTB48	ZBTB48
PLA2R1	PLA2R1
PPP1R3C	PPP1R3C
GCK	GCK
PRPF6	PRPF6
PSMD2	PSMD2
LYPLA2	LYPLA2
POLK	POLK
AP3B2	AP3B2
CCDC3	CCDC3
COG5	COG5
CCDC60	CCDC60
TENT4A	TENT4A
CELA2B	CELA2B
IL34	IL34
ACTL8	ACTL8
FUBP3	FUBP3
DCST1	DCST1
NEMP2	NEMP2
UPK2	UPK2
HMGN5	HMGN5
SLC38A5	SLC38A5
ABCB10	ABCB10
ATP11C	ATP11C
ZNF714	ZNF714
IGHD	IGHD
C20orf27	C20orf27
IGSF9B	IGSF9B
HIST1H3F	HIST1H3F
CRLF2	CRLF2
MICU1	MICU1
SPATA6L	SPATA6L
RUFY2	RUFY2
CCNF	CCNF
YIPF2	YIPF2
ZNF93	ZNF93
CYB5B	CYB5B
APBB1	APBB1
DOCK9	DOCK9
SYT6	SYT6
C17orf80	C17orf80
CELA3A	CELA3A
MFSD10	MFSD10
JUN	JUN
APOC4-APOC2	APOC4-APOC2
TSHZ2	TSHZ2
VAV2	VAV2
APOA2	APOA2
KIF26B	KIF26B
PROCA1	PROCA1
OR6N1	OR6N1
CTAGE1	CTAGE1
NOD2	NOD2
SAMD9L	SAMD9L
DSG1	DSG1
HIST2H2AA4	HIST2H2AA4
MBP	MBP
XRN1	XRN1
ALCAM	ALCAM
TMEM260	TMEM260
BTBD6	BTBD6
ZBBX	ZBBX
TRIM44	TRIM44
DHODH	DHODH
SNX16	SNX16
PLEKHH1	PLEKHH1
ZNF610	ZNF610
MRPL36	MRPL36
STK38L	STK38L
GRIN2D	GRIN2D
GALNT2	GALNT2
SORCS2	SORCS2
CDPF1	CDPF1
SIRT7	SIRT7
TFCP2	TFCP2
ZCCHC17	ZCCHC17
UPF1	UPF1
SPRYD3	SPRYD3
SERPINB7	SERPINB7
FBXO24	FBXO24
SFTA3	SFTA3
CCSER1	CCSER1
MAFB	MAFB
BLOC1S2	BLOC1S2
RARRES3	RARRES3
YIPF1	YIPF1
TRIQK	TRIQK
CSTF3	CSTF3
RNF208	RNF208
FAM20C	FAM20C
POLR2J2	POLR2J2
RNF152	RNF152
EIF3H	EIF3H
ITIH6	ITIH6
GOLGA8O	GOLGA8O
CANX	CANX
NAIP	NAIP
LDHAL6A	LDHAL6A
PRPF18	PRPF18
METTL21C	METTL21C
NDUFA12	NDUFA12
OR52E8	OR52E8
MS4A10	MS4A10
PTPRJ	PTPRJ
TAS2R19	TAS2R19
TYRO3	TYRO3
STIMATE	STIMATE
GPR108	GPR108
C16orf46	C16orf46
GLYATL1	GLYATL1
ADORA1	ADORA1
RAB11FIP5	RAB11FIP5
ARHGAP39	ARHGAP39
OTOGL	OTOGL
TRMT112	TRMT112
MED7	MED7
TOX	TOX
FOXN2	FOXN2
PBX4	PBX4
ERICH4	ERICH4
ITPRIP	ITPRIP
ZC3HAV1L	ZC3HAV1L
VWCE	VWCE
PJA2	PJA2
RNF41	RNF41
WNT10A	WNT10A
STRADA	STRADA
NTAN1	NTAN1
STRBP	STRBP
PM20D2	PM20D2
ALG3	ALG3
ERICH2	ERICH2
WFS1	WFS1
BICD2	BICD2
CORO1C	CORO1C
ZNF517	ZNF517
RPAIN	RPAIN
ABCE1	ABCE1
CARMIL1	CARMIL1
CHST6	CHST6
MTCH2	MTCH2
FUS	FUS
C19orf12	C19orf12
PTPRCAP	PTPRCAP
NT5C1B	NT5C1B
PITHD1	PITHD1
FSCN3	FSCN3
KIFAP3	KIFAP3
PHACTR2	PHACTR2
CFAP36	CFAP36
RPS4X	RPS4X
DGKZ	DGKZ
CDS2	CDS2
ATP6V1C1	ATP6V1C1
OVGP1	OVGP1
TEP1	TEP1
SCCPDH	SCCPDH
ENY2	ENY2
MRPL48	MRPL48
TSN	TSN
BCS1L	BCS1L
BUB3	BUB3
AL049629.2	AL049629.2
RSL24D1	RSL24D1
C2CD3	C2CD3
SNRPD3	SNRPD3
OR9A4	OR9A4
ANKEF1	ANKEF1
STPG3	STPG3
HJURP	HJURP
LTBR	LTBR
METTL18	METTL18
CITED1	CITED1
CCAR1	CCAR1
HABP2	HABP2
IFNAR2	IFNAR2
FASTKD1	FASTKD1
VPS26C	VPS26C
GRAMD4	GRAMD4
GVQW2	GVQW2
TCP11L1	TCP11L1
CHAC2	CHAC2
PTBP2	PTBP2
PTGFRN	PTGFRN
AANAT	AANAT
PNPLA1	PNPLA1
INTS8	INTS8
AFTPH	AFTPH
ADCYAP1R1	ADCYAP1R1
RIMS2	RIMS2
SLC26A1	SLC26A1
TMEM272	TMEM272
HSPBP1	HSPBP1
STOX1	STOX1
DAP3	DAP3
XPO6	XPO6
ZNF385B	ZNF385B
PRSS12	PRSS12
SRRD	SRRD
MND1	MND1
HMGXB4	HMGXB4
IL7R	IL7R
AC023509.3	AC023509.3
FNDC10	FNDC10
DPP3	DPP3
TDRP	TDRP
AAMDC	AAMDC
ZNF75D	ZNF75D
SLC39A2	SLC39A2
FBXW8	FBXW8
RAD21L1	RAD21L1
VEGFC	VEGFC
TNKS	TNKS
NOP56	NOP56
H2BFWT	H2BFWT
TRANK1	TRANK1
MRPL54	MRPL54
UCHL5	UCHL5
HEBP2	HEBP2
SMIM20	SMIM20
KCNA4	KCNA4
IGLL1	IGLL1
RCBTB2	RCBTB2
RASA1	RASA1
ASTE1	ASTE1
CCDC92	CCDC92
NUP88	NUP88
GABRB1	GABRB1
PRSS42	PRSS42
SYNGR4	SYNGR4
DGKI	DGKI
TSSK4	TSSK4
RUSC2	RUSC2
C15orf65	C15orf65
SLC12A8	SLC12A8
RPL18A	RPL18A
PCDHB2	PCDHB2
PPP2R3C	PPP2R3C
ASAH2B	ASAH2B
CREB3L2	CREB3L2
PI4KA	PI4KA
ST6GALNAC2	ST6GALNAC2
KLF14	KLF14
ZNF181	ZNF181
MIGA2	MIGA2
ZDHHC5	ZDHHC5
ZNF311	ZNF311
HSD17B10	HSD17B10
TERB2	TERB2
GLA	GLA
TTC13	TTC13
UBA7	UBA7
CAMK1	CAMK1
REEP5	REEP5
AAMP	AAMP
GUK1	GUK1
FKBP10	FKBP10
SYN1	SYN1
UQCC2	UQCC2
LSM2	LSM2
DNTTIP2	DNTTIP2
PSG1	PSG1
HECTD4	HECTD4
FKRP	FKRP
RAB2B	RAB2B
FH	FH
CCDC159	CCDC159
MYO1E	MYO1E
NDP	NDP
PLCB4	PLCB4
GRB7	GRB7
GRPR	GRPR
ATP5MD	ATP5MD
PTPA	PTPA
SERPINB8	SERPINB8
C3orf62	C3orf62
GPRC5C	GPRC5C
RRP7A	RRP7A
CD160	CD160
BCAR3	BCAR3
TFB2M	TFB2M
PRPS2	PRPS2
TMEM168	TMEM168
ERC2	ERC2
SCML2	SCML2
MALL	MALL
RAP1GDS1	RAP1GDS1
SEPT1	SEPT1
NTF3	NTF3
BRCA2	BRCA2
EEFSEC	EEFSEC
ST3GAL6	ST3GAL6
XBP1	XBP1
TMEM187	TMEM187
DIAPH3	DIAPH3
S1PR5	S1PR5
ZNF354B	ZNF354B
YPEL5	YPEL5
C17orf97	C17orf97
CREBZF	CREBZF
TMEM128	TMEM128
PRRC2C	PRRC2C
ZNF708	ZNF708
APELA	APELA
PIK3R6	PIK3R6
PRB3	PRB3
CD164	CD164
CCDC73	CCDC73
ZNF827	ZNF827
SHKBP1	SHKBP1
SRF	SRF
KRT31	KRT31
POU5F1	POU5F1
CYB5RL	CYB5RL
RAD17	RAD17
PLSCR1	PLSCR1
CAB39L	CAB39L
NUP107	NUP107
TERT	TERT
FXYD2	FXYD2
SPATA6	SPATA6
CEND1	CEND1
CLASP2	CLASP2
LMAN2L	LMAN2L
CD302	CD302
RNF227	RNF227
ABHD11	ABHD11
C1R	C1R
NCSTN	NCSTN
AGAP1	AGAP1
C16orf91	C16orf91
EFNB2	EFNB2
ARID3B	ARID3B
SPRED3	SPRED3
POGK	POGK
C7	C7
ZNF467	ZNF467
FGFR1OP2	FGFR1OP2
KMT2B	KMT2B
HOXB1	HOXB1
TREML4	TREML4
AP000695.1	AP000695.1
ARNT	ARNT
RLN2	RLN2
NIPAL1	NIPAL1
KCNB1	KCNB1
LGALS9B	LGALS9B
GLRA3	GLRA3
PSMB1	PSMB1
PIGG	PIGG
RPS2	RPS2
UPF2	UPF2
DNASE2B	DNASE2B
WFDC10B	WFDC10B
PDLIM2	PDLIM2
SLMAP	SLMAP
FAIM2	FAIM2
CAPRIN1	CAPRIN1
RPE65	RPE65
HNRNPDL	HNRNPDL
CBWD3	CBWD3
IRF2BP2	IRF2BP2
C9orf135	C9orf135
KANSL3	KANSL3
LCMT1	LCMT1
IL20RA	IL20RA
GABPB2	GABPB2
ADGRF1	ADGRF1
LYZL6	LYZL6
AL136115.1	AL136115.1
CD180	CD180
POLH	POLH
CD207	CD207
MYADM	MYADM
ANTXR1	ANTXR1
TOP1MT	TOP1MT
ZNF567	ZNF567
ISPD	ISPD
LAMP5	LAMP5
ZNF280A	ZNF280A
INSL3	INSL3
ASIC2	ASIC2
CDKN2AIP	CDKN2AIP
ASB8	ASB8
GRB10	GRB10
BMF	BMF
GLOD4	GLOD4
ZFP41	ZFP41
CDR2L	CDR2L
ABHD16B	ABHD16B
WIPI2	WIPI2
RIN3	RIN3
PEX10	PEX10
FERMT3	FERMT3
MRPS22	MRPS22
ZDHHC20	ZDHHC20
ISL2	ISL2
AHSG	AHSG
AZI2	AZI2
C4orf45	C4orf45
ARPC5	ARPC5
VEZT	VEZT
OR52H1	OR52H1
NCL	NCL
EPS15L1	EPS15L1
MYH2	MYH2
THAP3	THAP3
CSNK2A3	CSNK2A3
CEP97	CEP97
COL4A2	COL4A2
KCNQ2	KCNQ2
DHX36	DHX36
BNIP3L	BNIP3L
CSTF1	CSTF1
PEX11G	PEX11G
TOPORS	TOPORS
SNAI2	SNAI2
GFAP	GFAP
RWDD2B	RWDD2B
COL3A1	COL3A1
BECN1	BECN1
THAP4	THAP4
LY6G6D	LY6G6D
RPGRIP1	RPGRIP1
OR6C76	OR6C76
POMT2	POMT2
AC026740.1	AC026740.1
TMOD4	TMOD4
YBX3	YBX3
NOTCH3	NOTCH3
WDR34	WDR34
ERVK3-1	ERVK3-1
TCTE3	TCTE3
GRIA1	GRIA1
DCAF12L1	DCAF12L1
SFTA2	SFTA2
POU3F3	POU3F3
MAK16	MAK16
SNAPIN	SNAPIN
ATG10	ATG10
ECHDC3	ECHDC3
GNG7	GNG7
AADACL4	AADACL4
SLC25A12	SLC25A12
C2orf42	C2orf42
C19orf66	C19orf66
DCXR	DCXR
MYOM1	MYOM1
HBG2	HBG2
DGCR6L	DGCR6L
ASB9	ASB9
SGF29	SGF29
ISCA2	ISCA2
PRIMPOL	PRIMPOL
ITLN2	ITLN2
BTBD2	BTBD2
MORC3	MORC3
ERF	ERF
COMMD1	COMMD1
IFIT2	IFIT2
CPO	CPO
BIRC2	BIRC2
KIF1A	KIF1A
SEMA6D	SEMA6D
WDR61	WDR61
KNTC1	KNTC1
MBLAC2	MBLAC2
RALA	RALA
LDB2	LDB2
PPIL6	PPIL6
CHD1	CHD1
PSMC3	PSMC3
EIF2B4	EIF2B4
ST3GAL3	ST3GAL3
ANKRD20A2	ANKRD20A2
STX18	STX18
SERP2	SERP2
POP5	POP5
ILDR2	ILDR2
SLC1A4	SLC1A4
TMEM158	TMEM158
PPFIBP1	PPFIBP1
MBLAC1	MBLAC1
INTS12	INTS12
FAM167A	FAM167A
ABCA4	ABCA4
CCBE1	CCBE1
FUBP1	FUBP1
CDC42BPB	CDC42BPB
ISM2	ISM2
S100A12	S100A12
IQCK	IQCK
TAF10	TAF10
STARD7	STARD7
SIGLEC7	SIGLEC7
ITPKA	ITPKA
MCEE	MCEE
ADAM29	ADAM29
ATP6V1FNB	ATP6V1FNB
SLC7A6	SLC7A6
MRNIP	MRNIP
PDXP	PDXP
RFC5	RFC5
SBSN	SBSN
HAX1	HAX1
LCN6	LCN6
RTN4	RTN4
CEP76	CEP76
POLM	POLM
C2CD2L	C2CD2L
HTN1	HTN1
GTF3C2	GTF3C2
CXCL5	CXCL5
PMM2	PMM2
RRN3	RRN3
IZUMO1	IZUMO1
NOM1	NOM1
OPN1LW	OPN1LW
SOD2	SOD2
GPSM3	GPSM3
MESP1	MESP1
NTHL1	NTHL1
FAM241A	FAM241A
SHD	SHD
ZNF175	ZNF175
IGFBP3	IGFBP3
CBR1	CBR1
CD200	CD200
TFAM	TFAM
TMEM179B	TMEM179B
TMEM132E	TMEM132E
BPNT1	BPNT1
IKBKB	IKBKB
PKIG	PKIG
ENTPD2	ENTPD2
CYP4F8	CYP4F8
DCTPP1	DCTPP1
ZHX1-C8orf76	ZHX1-C8orf76
ENPP5	ENPP5
CFC1	CFC1
MEGF11	MEGF11
KIAA2012	KIAA2012
ENO2	ENO2
BOLA2B	BOLA2B
HSD3B7	HSD3B7
MRPS7	MRPS7
FBP2	FBP2
ALDOA	ALDOA
TMEM126B	TMEM126B
RAC2	RAC2
FOS	FOS
KIF5B	KIF5B
RFX3	RFX3
EMC1	EMC1
FAP	FAP
TMEM167A	TMEM167A
DUSP13	DUSP13
LETM1	LETM1
AC091057.6	AC091057.6
SERPINA10	SERPINA10
OLFM4	OLFM4
NUFIP2	NUFIP2
COL26A1	COL26A1
IGSF8	IGSF8
TNXB	TNXB
EML2	EML2
EVI2B	EVI2B
ZMAT2	ZMAT2
ATP12A	ATP12A
GPR25	GPR25
PEG10	PEG10
SAMM50	SAMM50
MEIS2	MEIS2
SUSD6	SUSD6
DTNBP1	DTNBP1
TMEM251	TMEM251
PATE2	PATE2
ERCC6L2	ERCC6L2
TRPC1	TRPC1
SLAIN1	SLAIN1
KIF18B	KIF18B
KLK14	KLK14
ZADH2	ZADH2
DBH	DBH
NACA2	NACA2
PML	PML
SPATA1	SPATA1
SNTN	SNTN
KIF16B	KIF16B
BLK	BLK
GPATCH3	GPATCH3
VARS2	VARS2
MYOT	MYOT
UQCRHL	UQCRHL
YTHDF2	YTHDF2
MESP2	MESP2
ZNF334	ZNF334
PURB	PURB
KAT2B	KAT2B
SERPINF1	SERPINF1
C22orf23	C22orf23
MYLPF	MYLPF
HESX1	HESX1
CMIP	CMIP
TAF9	TAF9
CSTF2	CSTF2
RFX4	RFX4
DENND6B	DENND6B
FCRL3	FCRL3
LAMC1	LAMC1
TINF2	TINF2
MINDY1	MINDY1
ALG10B	ALG10B
IGIP	IGIP
BEX3	BEX3
ZNF205	ZNF205
USH1C	USH1C
RHOF	RHOF
FAM160B2	FAM160B2
TRAF1	TRAF1
TMEM220	TMEM220
FBXO39	FBXO39
MOV10L1	MOV10L1
TRIB1	TRIB1
CTRC	CTRC
CERS1	CERS1
MTHFR	MTHFR
ZNF229	ZNF229
IGBP1	IGBP1
COPRS	COPRS
ATP5MGL	ATP5MGL
TMEM107	TMEM107
GANC	GANC
MB	MB
KLK3	KLK3
ARHGEF5	ARHGEF5
FAM104B	FAM104B
FAM81B	FAM81B
FGA	FGA
EVA1C	EVA1C
TEDC2	TEDC2
CEP131	CEP131
DCP2	DCP2
ATG9A	ATG9A
POGZ	POGZ
C5orf30	C5orf30
CTNNBIP1	CTNNBIP1
DPEP3	DPEP3
TRPM2	TRPM2
PRR5L	PRR5L
BRI3BP	BRI3BP
RAB39B	RAB39B
ZSCAN23	ZSCAN23
SLC35F1	SLC35F1
KDM6A	KDM6A
LCTL	LCTL
C6orf89	C6orf89
SLC6A13	SLC6A13
CCDC78	CCDC78
PDZK1	PDZK1
HIVEP3	HIVEP3
PCDHGC4	PCDHGC4
MYL12A	MYL12A
USP7	USP7
ODF2L	ODF2L
SLC4A8	SLC4A8
LRRC27	LRRC27
SRRM3	SRRM3
OCIAD1	OCIAD1
VPS11	VPS11
F8A2	F8A2
FBXO17	FBXO17
ZSWIM5	ZSWIM5
BCO2	BCO2
MYH11	MYH11
CNOT3	CNOT3
SYCE3	SYCE3
RFC3	RFC3
VASN	VASN
LRMP	LRMP
CYHR1	CYHR1
THAP8	THAP8
RFTN1	RFTN1
SEPT8	SEPT8
PARM1	PARM1
MEP1A	MEP1A
BTG3	BTG3
FOXK1	FOXK1
GSDMA	GSDMA
MIS18BP1	MIS18BP1
ZBED8	ZBED8
CTXND1	CTXND1
TRMT1	TRMT1
CD14	CD14
IFI35	IFI35
RSL1D1	RSL1D1
ARSK	ARSK
GTF3C4	GTF3C4
NES	NES
CYP2C19	CYP2C19
FOPNL	FOPNL
ANAPC7	ANAPC7
PAQR3	PAQR3
LMO4	LMO4
DNAH17	DNAH17
KCNE1B	KCNE1B
HMGCL	HMGCL
YRDC	YRDC
CIC	CIC
COX7A2L	COX7A2L
RPN1	RPN1
LBH	LBH
PARD3	PARD3
SARM1	SARM1
G6PD	G6PD
ATG13	ATG13
LRWD1	LRWD1
ZNF326	ZNF326
MYO10	MYO10
PDE9A	PDE9A
APOM	APOM
PAF1	PAF1
DDX11	DDX11
RPL36A-HNRNPH2	RPL36A-HNRNPH2
MYH7B	MYH7B
EXOSC4	EXOSC4
PEX5	PEX5
SLC40A1	SLC40A1
FANCD2	FANCD2
KRT81	KRT81
HSD17B13	HSD17B13
ARF1	ARF1
OAF	OAF
NKX6-2	NKX6-2
TNFSF15	TNFSF15
MNS1	MNS1
RIPK1	RIPK1
TREX1	TREX1
SEPT10	SEPT10
SSC5D	SSC5D
DBI	DBI
PPEF2	PPEF2
CILP2	CILP2
TAF1C	TAF1C
ZNF384	ZNF384
HLA-DRB1	HLA-DRB1
RNF11	RNF11
SCIN	SCIN
IPPK	IPPK
FBXO40	FBXO40
CLEC4M	CLEC4M
CAMP	CAMP
ZDHHC21	ZDHHC21
LYN	LYN
TXNRD3	TXNRD3
OSTM1	OSTM1
NEPRO	NEPRO
ADAD2	ADAD2
TACR2	TACR2
RGPD2	RGPD2
SET	SET
RANBP1	RANBP1
HLA-DOB	HLA-DOB
INPP4A	INPP4A
NFATC4	NFATC4
FASTKD3	FASTKD3
TEX36	TEX36
PKHD1L1	PKHD1L1
CMC1	CMC1
ELOVL1	ELOVL1
CBLN2	CBLN2
NOMO2	NOMO2
CCDC144NL	CCDC144NL
FXR2	FXR2
LY6G6F	LY6G6F
LUZP2	LUZP2
ABCF3	ABCF3
IP6K3	IP6K3
CHPT1	CHPT1
RNF111	RNF111
CCDC85C	CCDC85C
ZNF575	ZNF575
TMCC3	TMCC3
NEURL1B	NEURL1B
TNFRSF11A	TNFRSF11A
LMO7	LMO7
RBCK1	RBCK1
RBM41	RBM41
TPRA1	TPRA1
CDKN2AIPNL	CDKN2AIPNL
ZNF510	ZNF510
SLC25A53	SLC25A53
DPP6	DPP6
CHRDL1	CHRDL1
CD5	CD5
CCNB1IP1	CCNB1IP1
PPM1L	PPM1L
AXL	AXL
AC138894.1	AC138894.1
SYMPK	SYMPK
PGM3	PGM3
SUCLA2	SUCLA2
TTYH3	TTYH3
ACRV1	ACRV1
EIF2S1	EIF2S1
DNAJC11	DNAJC11
CEP250	CEP250
GIMAP6	GIMAP6
FNIP1	FNIP1
TNKS1BP1	TNKS1BP1
HLA-A	HLA-A
JAZF1	JAZF1
MAST1	MAST1
STUM	STUM
CFAP97D2	CFAP97D2
ANG	ANG
MBL2	MBL2
NUP85	NUP85
TBC1D15	TBC1D15
DDIT3	DDIT3
TM6SF1	TM6SF1
EBF1	EBF1
CD28	CD28
DSTYK	DSTYK
GRK2	GRK2
LIPT1	LIPT1
B4GALNT3	B4GALNT3
CDCP2	CDCP2
TMEM229A	TMEM229A
STAB1	STAB1
NDUFS7	NDUFS7
PHOSPHO1	PHOSPHO1
AC007846.2	AC007846.2
KRT83	KRT83
ANAPC5	ANAPC5
DYNC1H1	DYNC1H1
BARX2	BARX2
EEA1	EEA1
BRD1	BRD1
SIK2	SIK2
KIFC3	KIFC3
SIT1	SIT1
CPB1	CPB1
NDUFAF3	NDUFAF3
C1orf53	C1orf53
CNOT9	CNOT9
AMOT	AMOT
OR8A1	OR8A1
SMTN	SMTN
GP2	GP2
MPDU1	MPDU1
TBATA	TBATA
ZNF85	ZNF85
PCDHGA5	PCDHGA5
TRH	TRH
HIST1H1A	HIST1H1A
NLRP3	NLRP3
MYCL	MYCL
FOXJ1	FOXJ1
SH3RF1	SH3RF1
CTSH	CTSH
RGS14	RGS14
CNFN	CNFN
ST6GALNAC1	ST6GALNAC1
AGTR2	AGTR2
MBOAT1	MBOAT1
PPIH	PPIH
SLC25A18	SLC25A18
TINAGL1	TINAGL1
CHRNA5	CHRNA5
CGB8	CGB8
CCDC152	CCDC152
GJA3	GJA3
GORASP1	GORASP1
IL10RB	IL10RB
HYLS1	HYLS1
PRSS22	PRSS22
GAS1	GAS1
CSK	CSK
ICAM5	ICAM5
TTC17	TTC17
UGP2	UGP2
PXDNL	PXDNL
SH3BP2	SH3BP2
ANKRD27	ANKRD27
KCNJ4	KCNJ4
ST3GAL5	ST3GAL5
OXCT1	OXCT1
NXNL1	NXNL1
NCF2	NCF2
FTCD	FTCD
CEBPB	CEBPB
MSH5	MSH5
GADD45G	GADD45G
CCL24	CCL24
SBF2	SBF2
NLRP13	NLRP13
ZFP69B	ZFP69B
AP000646.1	AP000646.1
ANKK1	ANKK1
PCYOX1L	PCYOX1L
CNNM1	CNNM1
AC011448.1	AC011448.1
SMC3	SMC3
PEX14	PEX14
GSDMB	GSDMB
PAOX	PAOX
PICALM	PICALM
RIDA	RIDA
LIPA	LIPA
FAM180B	FAM180B
COPB1	COPB1
HEMGN	HEMGN
LRRC8E	LRRC8E
RP1	RP1
FIBP	FIBP
RPS6KL1	RPS6KL1
B3GAT3	B3GAT3
ZNF19	ZNF19
PRKRA	PRKRA
PJVK	PJVK
ACTRT3	ACTRT3
RMDN3	RMDN3
TMED1	TMED1
DDHD2	DDHD2
CD8A	CD8A
CENPT	CENPT
SLF1	SLF1
ZNF727	ZNF727
FECH	FECH
CHRNG	CHRNG
CABCOCO1	CABCOCO1
AQP10	AQP10
TNFSF12	TNFSF12
CHST1	CHST1
NEXMIF	NEXMIF
UTP11	UTP11
MYBPHL	MYBPHL
IFIT5	IFIT5
FRMD7	FRMD7
CLRN3	CLRN3
PIMREG	PIMREG
SULT4A1	SULT4A1
MAX	MAX
DCAF12	DCAF12
CEP295NL	CEP295NL
TIMM8A	TIMM8A
SERTM1	SERTM1
ZNF596	ZNF596
MRPL1	MRPL1
SPEF1	SPEF1
MRPL30	MRPL30
LRCOL1	LRCOL1
OSTC	OSTC
ZNF844	ZNF844
RPL10A	RPL10A
ESX1	ESX1
CD81	CD81
SCRN3	SCRN3
P2RX1	P2RX1
RTN1	RTN1
RABIF	RABIF
NAA16	NAA16
CDKN1A	CDKN1A
PAQR5	PAQR5
NPPB	NPPB
TUBA4B	TUBA4B
SLC25A10	SLC25A10
SOX8	SOX8
PTGR1	PTGR1
NXNL2	NXNL2
PQLC2	PQLC2
ACSM5	ACSM5
TENM1	TENM1
MSH4	MSH4
PROX2	PROX2
F5	F5
TAB1	TAB1
NXT1	NXT1
STAMBP	STAMBP
MYO6	MYO6
SPATA46	SPATA46
CDADC1	CDADC1
ZCCHC12	ZCCHC12
NCAPH	NCAPH
LRRC23	LRRC23
ST6GALNAC3	ST6GALNAC3
ATF7IP2	ATF7IP2
SEC14L2	SEC14L2
FAM174A	FAM174A
DPAGT1	DPAGT1
LTBP3	LTBP3
TRHDE	TRHDE
ZFHX2	ZFHX2
M1AP	M1AP
GRM4	GRM4
EPB41L3	EPB41L3
EXOC3L2	EXOC3L2
ADAM8	ADAM8
NLRP4	NLRP4
IFITM2	IFITM2
RAI1	RAI1
ANO6	ANO6
PARP10	PARP10
HSF1	HSF1
ADAM23	ADAM23
DPYS	DPYS
B3GNT5	B3GNT5
TAS2R4	TAS2R4
CCDC74A	CCDC74A
PUM3	PUM3
DDRGK1	DDRGK1
SOX1	SOX1
OSM	OSM
TSPAN12	TSPAN12
PRSS35	PRSS35
CA13	CA13
MYO3B	MYO3B
TMPRSS11F	TMPRSS11F
CWF19L1	CWF19L1
TOB1	TOB1
RPS6KA2	RPS6KA2
IRF7	IRF7
MDH2	MDH2
ATG3	ATG3
MPPED1	MPPED1
METTL1	METTL1
SMUG1	SMUG1
PODXL	PODXL
SELP	SELP
FAM83F	FAM83F
SRPK1	SRPK1
ZFR	ZFR
AKIP1	AKIP1
EFCAB5	EFCAB5
PECR	PECR
MYL1	MYL1
ARFGAP2	ARFGAP2
ELOA	ELOA
NACAD	NACAD
HES4	HES4
NAGS	NAGS
EEF1G	EEF1G
TMEM269	TMEM269
UBE2QL1	UBE2QL1
GK5	GK5
VAMP4	VAMP4
KRT18	KRT18
MYO3A	MYO3A
MRPS36	MRPS36
TM9SF1	TM9SF1
PRDM1	PRDM1
TSEN15	TSEN15
AARSD1	AARSD1
SDHC	SDHC
N6AMT1	N6AMT1
UGT3A2	UGT3A2
JARID2	JARID2
RSRC2	RSRC2
OR7G2	OR7G2
REEP2	REEP2
LYNX1-SLURP2	LYNX1-SLURP2
AGT	AGT
TTPA	TTPA
CD177	CD177
RUFY3	RUFY3
HGF	HGF
CD244	CD244
CTNNA2	CTNNA2
CDKAL1	CDKAL1
AC092587.1	AC092587.1
TIGD5	TIGD5
DDO	DDO
GVQW3	GVQW3
AFAP1L1	AFAP1L1
AASS	AASS
BACH1	BACH1
PCNX1	PCNX1
RAN	RAN
TRIM65	TRIM65
GPRIN3	GPRIN3
COX5B	COX5B
