	tsp_mRNA
TMEM106C	TMEM106C
KLK4	KLK4
ASB17	ASB17
TSPAN13	TSPAN13
DOK3	DOK3
ZHX1-C8orf76	ZHX1-C8orf76
DLL3	DLL3
KMT5C	KMT5C
APMAP	APMAP
PLGLB2	PLGLB2
LCE5A	LCE5A
UBE2D4	UBE2D4
ZNF343	ZNF343
TMED5	TMED5
CCDC125	CCDC125
ANKRD36C	ANKRD36C
NUP50	NUP50
AL031315.1	AL031315.1
OR2B2	OR2B2
OSBPL10	OSBPL10
SPINT4	SPINT4
NLRP5	NLRP5
JAKMIP2	JAKMIP2
PMP2	PMP2
SLPI	SLPI
ALG1L	ALG1L
AWAT1	AWAT1
FTL	FTL
SPRR1B	SPRR1B
SWI5	SWI5
SPATA5L1	SPATA5L1
AC022532.1	AC022532.1
ZNF136	ZNF136
AGBL5	AGBL5
TMEM176B	TMEM176B
MPP3	MPP3
MBOAT1	MBOAT1
PLA2G5	PLA2G5
OR4F3	OR4F3
GAST	GAST
SLC2A9	SLC2A9
ADAM28	ADAM28
PEX5	PEX5
SMIM7	SMIM7
ZNF546	ZNF546
DEFB136	DEFB136
VCL	VCL
C4orf36	C4orf36
BSG	BSG
APLP1	APLP1
IGFBP1	IGFBP1
PMVK	PMVK
CTNND2	CTNND2
DIRAS3	DIRAS3
GFI1	GFI1
EIF3CL	EIF3CL
TMEM189-UBE2V1	TMEM189-UBE2V1
GRWD1	GRWD1
LCP2	LCP2
C16orf89	C16orf89
GLMP	GLMP
ASNA1	ASNA1
ZC3HC1	ZC3HC1
TMEM238	TMEM238
KIF1C	KIF1C
STRN4	STRN4
KRTAP13-4	KRTAP13-4
ZNF69	ZNF69
RNASEH2A	RNASEH2A
KCNA3	KCNA3
PPIL4	PPIL4
SNX22	SNX22
REEP2	REEP2
ZNF286B	ZNF286B
SIDT2	SIDT2
TBCE	TBCE
RBMX	RBMX
GLRA1	GLRA1
TMEM88B	TMEM88B
HNRNPCL4	HNRNPCL4
PRKD2	PRKD2
TAS2R7	TAS2R7
ZAN	ZAN
RNF183	RNF183
CIB3	CIB3
ADAMTS12	ADAMTS12
MCCC2	MCCC2
ZNF470	ZNF470
SBF1	SBF1
RABGAP1	RABGAP1
AMZ2	AMZ2
SYT17	SYT17
GRASP	GRASP
PRR11	PRR11
OR2L2	OR2L2
HSPA9	HSPA9
WDCP	WDCP
PIGS	PIGS
TMEM40	TMEM40
ZNF600	ZNF600
OR7C1	OR7C1
SLC25A16	SLC25A16
SEMA4B	SEMA4B
SMCO3	SMCO3
EXOC6	EXOC6
BTBD19	BTBD19
USP17L13	USP17L13
CUTA	CUTA
ASMTL	ASMTL
TCTA	TCTA
MALSU1	MALSU1
SLC5A2	SLC5A2
WDR83OS	WDR83OS
GRK5	GRK5
SNX32	SNX32
CKMT1A	CKMT1A
CDH15	CDH15
MTTP	MTTP
IGSF6	IGSF6
TTLL5	TTLL5
GRIFIN	GRIFIN
TRIM71	TRIM71
AC027309.1	AC027309.1
FHOD3	FHOD3
NUDT8	NUDT8
CITED2	CITED2
DLGAP4	DLGAP4
MRPL45	MRPL45
CLIP2	CLIP2
FAM124B	FAM124B
RGMB	RGMB
ELL2	ELL2
CYP27A1	CYP27A1
SLC13A4	SLC13A4
SREK1	SREK1
SULT2A1	SULT2A1
TTLL1	TTLL1
CAGE1	CAGE1
PRRG3	PRRG3
MVK	MVK
CDON	CDON
RPP40	RPP40
ELL	ELL
FAM166B	FAM166B
FAM57B	FAM57B
UNC50	UNC50
VEGFD	VEGFD
HS3ST3B1	HS3ST3B1
ZNF385B	ZNF385B
PHOSPHO1	PHOSPHO1
RHOT1	RHOT1
LRRC29	LRRC29
TTC7B	TTC7B
LRRC32	LRRC32
STOML2	STOML2
FAM229A	FAM229A
LONRF2	LONRF2
OIP5	OIP5
WDR76	WDR76
AC008763.3	AC008763.3
RXFP2	RXFP2
RNF17	RNF17
MPP7	MPP7
ROBO4	ROBO4
HMG20A	HMG20A
CYP4F3	CYP4F3
BCL2L2	BCL2L2
SMPX	SMPX
ZNF425	ZNF425
AC018755.2	AC018755.2
ALDH4A1	ALDH4A1
LRRC3C	LRRC3C
TMEM269	TMEM269
PPM1D	PPM1D
PTAFR	PTAFR
TPRG1	TPRG1
RAB40AL	RAB40AL
KIAA1211	KIAA1211
FJX1	FJX1
TOM1L1	TOM1L1
TRPC5OS	TRPC5OS
SH2B2	SH2B2
SCAF11	SCAF11
ADAM11	ADAM11
LYPD1	LYPD1
SMIM11B	SMIM11B
RBMY1F	RBMY1F
KLRC1	KLRC1
KLHL14	KLHL14
MCM4	MCM4
FAM71F1	FAM71F1
CDV3	CDV3
TAS1R2	TAS1R2
TVP23C-CDRT4	TVP23C-CDRT4
THAP9	THAP9
CENPVL1	CENPVL1
BCL9	BCL9
AC090186.1	AC090186.1
CNTD1	CNTD1
HMGA1	HMGA1
PRMT2	PRMT2
ZNF331	ZNF331
FSD2	FSD2
KDM5C	KDM5C
PIGF	PIGF
HDDC2	HDDC2
TCF23	TCF23
ADAM9	ADAM9
ATN1	ATN1
SLBP	SLBP
TREM2	TREM2
PCDHA5	PCDHA5
WNT9B	WNT9B
GNAZ	GNAZ
TLR3	TLR3
PITPNM1	PITPNM1
RNF144A	RNF144A
EML6	EML6
ABCF1	ABCF1
AC099850.2	AC099850.2
SDF4	SDF4
PLEKHB2	PLEKHB2
TWF2	TWF2
DEGS2	DEGS2
TAL1	TAL1
COL11A2	COL11A2
CYTIP	CYTIP
ALPL	ALPL
LGR6	LGR6
ZNF705A	ZNF705A
ALB	ALB
CGB3	CGB3
STMN1	STMN1
ERV3-1	ERV3-1
NPAP1	NPAP1
HDDC3	HDDC3
CMTM2	CMTM2
FAM135A	FAM135A
STK31	STK31
TYW3	TYW3
WASF1	WASF1
ENKUR	ENKUR
SLC29A1	SLC29A1
MRM2	MRM2
IGF2	IGF2
FAM19A1	FAM19A1
EML1	EML1
SLC39A3	SLC39A3
WASHC4	WASHC4
TTYH2	TTYH2
KLHDC9	KLHDC9
CHD1L	CHD1L
BEX5	BEX5
ACLY	ACLY
CYP2F1	CYP2F1
HSPB6	HSPB6
CT45A10	CT45A10
KPNA5	KPNA5
FRS2	FRS2
RNF216	RNF216
OR1L1	OR1L1
TRIM55	TRIM55
INSYN2	INSYN2
MAP3K3	MAP3K3
ENKD1	ENKD1
CCDC171	CCDC171
SUSD3	SUSD3
ATP6V1G2	ATP6V1G2
PHLDA1	PHLDA1
IQGAP3	IQGAP3
PDP1	PDP1
PRADC1	PRADC1
GPLD1	GPLD1
AQR	AQR
SLC6A5	SLC6A5
NEK9	NEK9
UROD	UROD
CERS5	CERS5
C18orf25	C18orf25
GRK1	GRK1
ZNF844	ZNF844
CNIH2	CNIH2
FAM9B	FAM9B
SF3A2	SF3A2
NCOR1	NCOR1
FNTA	FNTA
TNFSF14	TNFSF14
GLTP	GLTP
CADM4	CADM4
ZNF488	ZNF488
ACSBG2	ACSBG2
WDR82	WDR82
PCSK2	PCSK2
STARD7	STARD7
RPTN	RPTN
ENPP2	ENPP2
ISPD	ISPD
KIF4A	KIF4A
ATP8B4	ATP8B4
PGLYRP4	PGLYRP4
MYH6	MYH6
NEFH	NEFH
ZSCAN31	ZSCAN31
TEP1	TEP1
ERBB4	ERBB4
ERCC1	ERCC1
RAD21	RAD21
FAM71F2	FAM71F2
PTPN1	PTPN1
MNX1	MNX1
GPR68	GPR68
OR10G7	OR10G7
MAP1LC3B2	MAP1LC3B2
EIF4EBP2	EIF4EBP2
KIF16B	KIF16B
CPAMD8	CPAMD8
GABARAP	GABARAP
LYSMD1	LYSMD1
NXF5	NXF5
PTS	PTS
GPRC5D	GPRC5D
TNFSF15	TNFSF15
ORMDL2	ORMDL2
AMT	AMT
SLC5A7	SLC5A7
ATG16L1	ATG16L1
NRXN1	NRXN1
C2orf72	C2orf72
C2CD4D	C2CD4D
GPR157	GPR157
PPP1CB	PPP1CB
HMHB1	HMHB1
TMPRSS11B	TMPRSS11B
KDM1B	KDM1B
ATP2B3	ATP2B3
OR2G6	OR2G6
GNL3L	GNL3L
NOMO2	NOMO2
SBSN	SBSN
BNC2	BNC2
KLHL18	KLHL18
FAM236C	FAM236C
RNF19B	RNF19B
HSP90B1	HSP90B1
WIPI1	WIPI1
BLVRB	BLVRB
ORAI1	ORAI1
BCDIN3D	BCDIN3D
PDE11A	PDE11A
MARCH6	MARCH6
GAGE10	GAGE10
PILRA	PILRA
ZNF473	ZNF473
ITPKB	ITPKB
SHISAL2A	SHISAL2A
LTK	LTK
TMEM106A	TMEM106A
PPARA	PPARA
EFTUD2	EFTUD2
TSPAN3	TSPAN3
CST9L	CST9L
TAX1BP3	TAX1BP3
PPP1R18	PPP1R18
OSBPL11	OSBPL11
OCRL	OCRL
WIPF2	WIPF2
AC106774.4	AC106774.4
PCDHB8	PCDHB8
MBD2	MBD2
ACP2	ACP2
SNPH	SNPH
EIF2S3	EIF2S3
CDH18	CDH18
ELP3	ELP3
SYNRG	SYNRG
SOAT1	SOAT1
CCL11	CCL11
SIGLEC12	SIGLEC12
PMF1-BGLAP	PMF1-BGLAP
AC068790.8	AC068790.8
TCF12	TCF12
OR4C46	OR4C46
IKBKG	IKBKG
KLHL25	KLHL25
CBX7	CBX7
RPS15	RPS15
OR2L3	OR2L3
MOB4	MOB4
RPL18A	RPL18A
ZNF441	ZNF441
IGSF23	IGSF23
C19orf53	C19orf53
MAP7D2	MAP7D2
PCID2	PCID2
KDM2B	KDM2B
WDR19	WDR19
TMEM185B	TMEM185B
PHACTR3	PHACTR3
MAPK1	MAPK1
MEIS2	MEIS2
IGKV2D-40	IGKV2D-40
FAM72C	FAM72C
SLC17A6	SLC17A6
CSTB	CSTB
HGFAC	HGFAC
GOLGA8R	GOLGA8R
SAT2	SAT2
DZIP3	DZIP3
EPB41L4B	EPB41L4B
CRADD	CRADD
PDE4C	PDE4C
LBHD1	LBHD1
VBP1	VBP1
PRSS38	PRSS38
PRAMEF14	PRAMEF14
KCNN4	KCNN4
NAAA	NAAA
POP4	POP4
COL4A6	COL4A6
RPS6KA5	RPS6KA5
TMEM53	TMEM53
TMEM156	TMEM156
EIF3F	EIF3F
CST11	CST11
C1QTNF4	C1QTNF4
RUNDC3B	RUNDC3B
SSTR3	SSTR3
PKN1	PKN1
ABRAXAS1	ABRAXAS1
DEPTOR	DEPTOR
PGAP3	PGAP3
UTS2B	UTS2B
SLC27A4	SLC27A4
S100A6	S100A6
TSC22D3	TSC22D3
ARPC4-TTLL3	ARPC4-TTLL3
ARHGAP36	ARHGAP36
SYNGAP1	SYNGAP1
P2RY2	P2RY2
ADGRE3	ADGRE3
CRYBB2	CRYBB2
CYP4V2	CYP4V2
PPT2	PPT2
OR4D1	OR4D1
AC092143.1	AC092143.1
PCDHA8	PCDHA8
CCDC159	CCDC159
KIAA1211L	KIAA1211L
AC025278.1	AC025278.1
RPL17-C18orf32	RPL17-C18orf32
CRAT	CRAT
AL445238.1	AL445238.1
NDUFS3	NDUFS3
ABCA7	ABCA7
EIF1	EIF1
RGS8	RGS8
TMEM108	TMEM108
ARHGEF19	ARHGEF19
C21orf58	C21orf58
KRT8	KRT8
UPK3B	UPK3B
NCOA3	NCOA3
SLC46A2	SLC46A2
TMEM215	TMEM215
ATP6V1G1	ATP6V1G1
SPTB	SPTB
COPS7A	COPS7A
COG2	COG2
FMO3	FMO3
GNG5	GNG5
TBC1D9	TBC1D9
TINAG	TINAG
KCNK6	KCNK6
CLDN15	CLDN15
UBA3	UBA3
TOMM70	TOMM70
SLC35D2	SLC35D2
ZNF517	ZNF517
PPIH	PPIH
GATA4	GATA4
UPRT	UPRT
WWTR1	WWTR1
RPS19	RPS19
TMEM82	TMEM82
CLEC16A	CLEC16A
ZNF639	ZNF639
CCNY	CCNY
GABRB3	GABRB3
GPR37L1	GPR37L1
CLIC5	CLIC5
STBD1	STBD1
CADPS2	CADPS2
ZNF292	ZNF292
MORC1	MORC1
FAM13C	FAM13C
PCDHB4	PCDHB4
VCP	VCP
TFAP2A	TFAP2A
ACAD9	ACAD9
RAPGEF5	RAPGEF5
ARSD	ARSD
BROX	BROX
TMEM115	TMEM115
XAGE3	XAGE3
NEK6	NEK6
BSX	BSX
ADAM30	ADAM30
CYLC2	CYLC2
RBX1	RBX1
TYMP	TYMP
AZU1	AZU1
SGSM3	SGSM3
AQP5	AQP5
ANKRD53	ANKRD53
CKS2	CKS2
ADCK5	ADCK5
HSPA12B	HSPA12B
BARX1	BARX1
ACTL8	ACTL8
PRPF39	PRPF39
KLHDC4	KLHDC4
TRMT13	TRMT13
ATP5F1D	ATP5F1D
PLA2G10	PLA2G10
NOS1AP	NOS1AP
SLC11A1	SLC11A1
C2orf42	C2orf42
ODF3L2	ODF3L2
PLB1	PLB1
STAG2	STAG2
SPICE1	SPICE1
CACNB4	CACNB4
TRIM37	TRIM37
TMED4	TMED4
RBM14	RBM14
PCGF5	PCGF5
APPBP2	APPBP2
MRPL44	MRPL44
ZBTB47	ZBTB47
FAM53A	FAM53A
CEP70	CEP70
SERPINB1	SERPINB1
SLC30A9	SLC30A9
CDH10	CDH10
PPOX	PPOX
PAQR9	PAQR9
JADE2	JADE2
ZFP62	ZFP62
VKORC1	VKORC1
RBKS	RBKS
JMJD7-PLA2G4B	JMJD7-PLA2G4B
DEFB103B	DEFB103B
INO80D	INO80D
OSGIN2	OSGIN2
NOP2	NOP2
PLEKHA8	PLEKHA8
GDE1	GDE1
GTPBP8	GTPBP8
EIF3M	EIF3M
LRRC24	LRRC24
ARMH2	ARMH2
TBCD	TBCD
GSTM5	GSTM5
CCDC190	CCDC190
ATP2B1	ATP2B1
KEAP1	KEAP1
FAM91A1	FAM91A1
CAST	CAST
ACRV1	ACRV1
GRB14	GRB14
NOMO1	NOMO1
REM2	REM2
NPAS4	NPAS4
EPS8L2	EPS8L2
GCHFR	GCHFR
RIPOR3	RIPOR3
SPON1	SPON1
ALDH1A2	ALDH1A2
NT5M	NT5M
COX7A1	COX7A1
VAMP4	VAMP4
HNRNPA1L2	HNRNPA1L2
AL136295.3	AL136295.3
SYNE4	SYNE4
SEC61B	SEC61B
LRMDA	LRMDA
ELP6	ELP6
LATS2	LATS2
CFD	CFD
ANKRD9	ANKRD9
SOX3	SOX3
SLC24A5	SLC24A5
HOXA9	HOXA9
SMARCA4	SMARCA4
CYP46A1	CYP46A1
PRR5	PRR5
OR10Q1	OR10Q1
MMP27	MMP27
URI1	URI1
CCNL2	CCNL2
KRTAP5-10	KRTAP5-10
SIRT2	SIRT2
TXLNB	TXLNB
PUS7	PUS7
TMLHE	TMLHE
AC015660.1	AC015660.1
CEBPA	CEBPA
HOOK2	HOOK2
GPR137	GPR137
GRIK2	GRIK2
CFHR2	CFHR2
BPIFA1	BPIFA1
ADAMTS20	ADAMTS20
INHBB	INHBB
IPO8	IPO8
URM1	URM1
ZNF831	ZNF831
ARL13B	ARL13B
CPT1C	CPT1C
HSPB7	HSPB7
RALGAPA1	RALGAPA1
ZNF30	ZNF30
LACTB2	LACTB2
FIBIN	FIBIN
DHX37	DHX37
ALDH1L2	ALDH1L2
RPL5	RPL5
PSMD9	PSMD9
PGD	PGD
CD46	CD46
LRP10	LRP10
SGTA	SGTA
SLC6A18	SLC6A18
UTP4	UTP4
AP001458.2	AP001458.2
S100G	S100G
TANC2	TANC2
ACTG1	ACTG1
WDR75	WDR75
AGRN	AGRN
ABI3BP	ABI3BP
RNF141	RNF141
CHST9	CHST9
NCOR2	NCOR2
ALMS1	ALMS1
TRMT1L	TRMT1L
MND1	MND1
GNLY	GNLY
TSHZ3	TSHZ3
PRR20G	PRR20G
BCL11A	BCL11A
BEAN1	BEAN1
KIF4B	KIF4B
BRPF3	BRPF3
TFDP2	TFDP2
ANKRD11	ANKRD11
EDN2	EDN2
Z82190.2	Z82190.2
ADAMTSL1	ADAMTSL1
RCE1	RCE1
POF1B	POF1B
TMEM47	TMEM47
EGLN1	EGLN1
MAP3K9	MAP3K9
ANXA7	ANXA7
CLCA1	CLCA1
BOLA2B	BOLA2B
LELP1	LELP1
ZC2HC1B	ZC2HC1B
AP2B1	AP2B1
RHBDF2	RHBDF2
FBN3	FBN3
TRIM62	TRIM62
DAPK1	DAPK1
DYNC1LI2	DYNC1LI2
P4HB	P4HB
GADD45A	GADD45A
TMEM41A	TMEM41A
ZNF821	ZNF821
RPL3	RPL3
SECISBP2L	SECISBP2L
UGT2B11	UGT2B11
EXOSC3	EXOSC3
MOXD1	MOXD1
HAUS1	HAUS1
RAB17	RAB17
ASXL1	ASXL1
ODF4	ODF4
LGI2	LGI2
MARK1	MARK1
CSH1	CSH1
IL4I1	IL4I1
NUDCD3	NUDCD3
MAGED1	MAGED1
COL4A1	COL4A1
C19orf12	C19orf12
PTPRU	PTPRU
B4GALT5	B4GALT5
MEP1B	MEP1B
CENPVL2	CENPVL2
TRIM72	TRIM72
PON2	PON2
PROKR1	PROKR1
LY6G6C	LY6G6C
MPDU1	MPDU1
PLPP5	PLPP5
KDM8	KDM8
GTSF1	GTSF1
NXPE2	NXPE2
RAD21L1	RAD21L1
RASEF	RASEF
MNDA	MNDA
DLX4	DLX4
INIP	INIP
CD74	CD74
LUZP1	LUZP1
TSC1	TSC1
CYP7A1	CYP7A1
CAPN14	CAPN14
RIOX2	RIOX2
HFE	HFE
RHD	RHD
PAM	PAM
TPH1	TPH1
OR2S2	OR2S2
SRSF3	SRSF3
PACSIN2	PACSIN2
CHM	CHM
AC093157.1	AC093157.1
GPR52	GPR52
PMF1	PMF1
ORM2	ORM2
TAF6	TAF6
PRODH	PRODH
CLIC6	CLIC6
GJD3	GJD3
ZNF479	ZNF479
OARD1	OARD1
ZNF44	ZNF44
SCN1B	SCN1B
SEPT10	SEPT10
DOP1B	DOP1B
AC114490.3	AC114490.3
PCDHGA9	PCDHGA9
ZCCHC9	ZCCHC9
AC027228.1	AC027228.1
POM121	POM121
HPDL	HPDL
AC007998.2	AC007998.2
CT62	CT62
CALM2	CALM2
ZNF629	ZNF629
GGACT	GGACT
SLC25A47	SLC25A47
ZNF674	ZNF674
UGGT2	UGGT2
TRPC3	TRPC3
USP45	USP45
PPARG	PPARG
CT83	CT83
DIP2C	DIP2C
AC006486.1	AC006486.1
NPFF	NPFF
DDIT4	DDIT4
HOXB9	HOXB9
MORC4	MORC4
VPS37C	VPS37C
TSGA13	TSGA13
ANKRD7	ANKRD7
IRS2	IRS2
RARA	RARA
CLRN1	CLRN1
TG	TG
EYA2	EYA2
TMEM231	TMEM231
COL2A1	COL2A1
AL391650.1	AL391650.1
LIN37	LIN37
NXPH3	NXPH3
MAJIN	MAJIN
RBM44	RBM44
VCPIP1	VCPIP1
DISC1	DISC1
SEMA6A	SEMA6A
FYB1	FYB1
SPATA22	SPATA22
SMO	SMO
SLCO4A1	SLCO4A1
MAP3K15	MAP3K15
PRPSAP2	PRPSAP2
TUBA3E	TUBA3E
PRODH2	PRODH2
COL8A1	COL8A1
MT-CO3	MT-CO3
MTG1	MTG1
AP2M1	AP2M1
CA1	CA1
CCR8	CCR8
MAGEA12	MAGEA12
KBTBD7	KBTBD7
WDR54	WDR54
XCL2	XCL2
SPACA3	SPACA3
FRMD8	FRMD8
CNOT3	CNOT3
LIME1	LIME1
CUTC	CUTC
AC013394.1	AC013394.1
ALDOB	ALDOB
MCF2	MCF2
PLXNA3	PLXNA3
ACTC1	ACTC1
NLRP11	NLRP11
SAGE1	SAGE1
CDC20	CDC20
GPR83	GPR83
HIST1H3C	HIST1H3C
GPA33	GPA33
MT-ND4L	MT-ND4L
FOXG1	FOXG1
WHAMM	WHAMM
ZNF275	ZNF275
ANKRD13A	ANKRD13A
TACR3	TACR3
COX7A2L	COX7A2L
KIFC1	KIFC1
GEM	GEM
TAF4B	TAF4B
GTF3C2	GTF3C2
EEF2KMT	EEF2KMT
LIPE	LIPE
PRDM9	PRDM9
GLDN	GLDN
LRP11	LRP11
WDR17	WDR17
CNN3	CNN3
TENM1	TENM1
COX6C	COX6C
SLC28A3	SLC28A3
U2AF1	U2AF1
CSMD2	CSMD2
CEP78	CEP78
SAMD1	SAMD1
AL354718.1	AL354718.1
CAMK2N1	CAMK2N1
MAFB	MAFB
SLC17A8	SLC17A8
GOLGA8G	GOLGA8G
ADGB	ADGB
GPR12	GPR12
VENTX	VENTX
ABCG2	ABCG2
GALC	GALC
SH3YL1	SH3YL1
SST	SST
SRSF6	SRSF6
SCPEP1	SCPEP1
NRG4	NRG4
EPDR1	EPDR1
DNAJB5	DNAJB5
DAP	DAP
NCLN	NCLN
RASGRP1	RASGRP1
PARN	PARN
SELENBP1	SELENBP1
EPYC	EPYC
RFLNB	RFLNB
H3.Y	H3.Y
WDR11	WDR11
HJURP	HJURP
CEACAM5	CEACAM5
MAGEB5	MAGEB5
ALPG	ALPG
COPS8	COPS8
UNC5B	UNC5B
KIAA1109	KIAA1109
TRIML1	TRIML1
BPY2	BPY2
SLC27A1	SLC27A1
CCDC34	CCDC34
TRMT1	TRMT1
PPP1R3C	PPP1R3C
IRAK1BP1	IRAK1BP1
TGIF1	TGIF1
OR2L5	OR2L5
BAG4	BAG4
C3orf49	C3orf49
INPP5K	INPP5K
BRWD3	BRWD3
KCNV2	KCNV2
DUSP5	DUSP5
B4GALT6	B4GALT6
SLIT2	SLIT2
KISS1R	KISS1R
LAT	LAT
CD101	CD101
OR4K14	OR4K14
MDM1	MDM1
OR8K1	OR8K1
P2RY12	P2RY12
AP000812.4	AP000812.4
ERP44	ERP44
HACD2	HACD2
SETBP1	SETBP1
CSPG4	CSPG4
OR51B5	OR51B5
CYB5R4	CYB5R4
LHCGR	LHCGR
ZC3H13	ZC3H13
OR6C65	OR6C65
MROH2A	MROH2A
FAM83A	FAM83A
TSKU	TSKU
CXCL5	CXCL5
SLC44A1	SLC44A1
SRRT	SRRT
ATRAID	ATRAID
AL110118.2	AL110118.2
SFTPA1	SFTPA1
MEGF8	MEGF8
TMEM11	TMEM11
OR2T5	OR2T5
AC024257.1	AC024257.1
ROBO1	ROBO1
CREB3L1	CREB3L1
SCYGR7	SCYGR7
PPP1R2B	PPP1R2B
AMTN	AMTN
RAB4B	RAB4B
USP14	USP14
TAF11L8	TAF11L8
AGTR2	AGTR2
HIST1H2BB	HIST1H2BB
LYZ	LYZ
RIPOR1	RIPOR1
LAMP1	LAMP1
KLHL21	KLHL21
FKRP	FKRP
PIWIL2	PIWIL2
KIAA0586	KIAA0586
GLCCI1	GLCCI1
CCL25	CCL25
PBOV1	PBOV1
ASIC4	ASIC4
ANXA11	ANXA11
ITIH5	ITIH5
BST2	BST2
TFF2	TFF2
FXR2	FXR2
BHLHA9	BHLHA9
AL049779.1	AL049779.1
SAMHD1	SAMHD1
FAM19A2	FAM19A2
ACER3	ACER3
APOA4	APOA4
CDIPT	CDIPT
NR1D2	NR1D2
PPP4R4	PPP4R4
HDAC1	HDAC1
C6orf226	C6orf226
ZNF197	ZNF197
ARPP19	ARPP19
TMEM116	TMEM116
PHF23	PHF23
HCCS	HCCS
TMX3	TMX3
GABPB1	GABPB1
SYCE3	SYCE3
IMMT	IMMT
ZNF341	ZNF341
SPDYA	SPDYA
NYNRIN	NYNRIN
DCAF17	DCAF17
SLC35E2A	SLC35E2A
FBN2	FBN2
PRKCH	PRKCH
SPHAR	SPHAR
MARVELD1	MARVELD1
WDR92	WDR92
RMDN1	RMDN1
DOT1L	DOT1L
COLEC11	COLEC11
PLA2G2F	PLA2G2F
GPR6	GPR6
NKD1	NKD1
PRR5L	PRR5L
PRPF6	PRPF6
C1QTNF8	C1QTNF8
OR5J2	OR5J2
DEFB106A	DEFB106A
LTBR	LTBR
ORC6	ORC6
SLC25A22	SLC25A22
ALDH3A1	ALDH3A1
FAF2	FAF2
ANO3	ANO3
IFITM2	IFITM2
FGF12	FGF12
MOSPD2	MOSPD2
GDF1	GDF1
ANO7	ANO7
AC012360.1	AC012360.1
TAS2R42	TAS2R42
AURKC	AURKC
GPATCH2L	GPATCH2L
FLG2	FLG2
LCE1C	LCE1C
SPANXC	SPANXC
NXNL1	NXNL1
APOA2	APOA2
TMEM230	TMEM230
RDM1	RDM1
NUMB	NUMB
L2HGDH	L2HGDH
NLGN4X	NLGN4X
SNAI1	SNAI1
GATB	GATB
IL2	IL2
SMIM35	SMIM35
POLR1D	POLR1D
ITPK1	ITPK1
NCDN	NCDN
MRPS21	MRPS21
CDH6	CDH6
KRTAP5-4	KRTAP5-4
RIPPLY1	RIPPLY1
CATSPERE	CATSPERE
USP17L7	USP17L7
CYP4F8	CYP4F8
RPL10A	RPL10A
HIST2H2AC	HIST2H2AC
NPTXR	NPTXR
IZUMO1R	IZUMO1R
FBXO21	FBXO21
ASB6	ASB6
FER1L5	FER1L5
ADAM20	ADAM20
VDAC2	VDAC2
SPDEF	SPDEF
PKMYT1	PKMYT1
CREG1	CREG1
TMEM244	TMEM244
ARL14	ARL14
REC8	REC8
AP1AR	AP1AR
C12orf4	C12orf4
ELOVL3	ELOVL3
RAB3C	RAB3C
CCDC85C	CCDC85C
SMCO1	SMCO1
BCL9L	BCL9L
GRIN2C	GRIN2C
CCDC141	CCDC141
SP5	SP5
ATAT1	ATAT1
BANP	BANP
AMY1B	AMY1B
STAU2	STAU2
AC093668.3	AC093668.3
SLC35G1	SLC35G1
PTPRS	PTPRS
EQTN	EQTN
DDOST	DDOST
TET1	TET1
NCBP2L	NCBP2L
PRICKLE3	PRICKLE3
PDHA1	PDHA1
AC079210.1	AC079210.1
GPR75-ASB3	GPR75-ASB3
MRPL50	MRPL50
RTL1	RTL1
AC144573.1	AC144573.1
SLC9B2	SLC9B2
ZNF692	ZNF692
RPS2	RPS2
GMDS	GMDS
COX4I2	COX4I2
SAP25	SAP25
RAB11FIP5	RAB11FIP5
TET3	TET3
POLR2K	POLR2K
TMPRSS12	TMPRSS12
SEZ6L	SEZ6L
AC135050.2	AC135050.2
YTHDF1	YTHDF1
AC068987.5	AC068987.5
MYLK	MYLK
TRIM67	TRIM67
SUPT7L	SUPT7L
AC026310.1	AC026310.1
HOXC12	HOXC12
PLA2G2C	PLA2G2C
OR6C76	OR6C76
ARC	ARC
AC099811.2	AC099811.2
DCTN5	DCTN5
CFAP70	CFAP70
ACKR3	ACKR3
PTPRQ	PTPRQ
PITPNM3	PITPNM3
LCORL	LCORL
RAP2A	RAP2A
HTR6	HTR6
GGT5	GGT5
LRIT1	LRIT1
SHLD2	SHLD2
MRPS11	MRPS11
PLEKHG1	PLEKHG1
ABLIM1	ABLIM1
TIMM10	TIMM10
NCAPH2	NCAPH2
MAP3K8	MAP3K8
SCCPDH	SCCPDH
ZNF302	ZNF302
CMIP	CMIP
CCDC15	CCDC15
C7orf31	C7orf31
GSG1L2	GSG1L2
HLA-DQB1	HLA-DQB1
KCTD20	KCTD20
AC121757.1	AC121757.1
TMEM56	TMEM56
PPIAL4A	PPIAL4A
C16orf86	C16orf86
SMYD5	SMYD5
KRTAP4-6	KRTAP4-6
GGT7	GGT7
ARHGAP39	ARHGAP39
STXBP3	STXBP3
MFSD2A	MFSD2A
MYO5B	MYO5B
PRAM1	PRAM1
SRPRB	SRPRB
NCR2	NCR2
SLC35E1	SLC35E1
TMEM160	TMEM160
FCER2	FCER2
DAZ3	DAZ3
RILPL2	RILPL2
TMEM170A	TMEM170A
USP36	USP36
IRX2	IRX2
SPACA4	SPACA4
ATXN2L	ATXN2L
TMEM273	TMEM273
MS4A6A	MS4A6A
ERICH3	ERICH3
LIX1L	LIX1L
KCNIP1	KCNIP1
TRADD	TRADD
CEP290	CEP290
YBEY	YBEY
SOX30	SOX30
HECW2	HECW2
CCL20	CCL20
ST3GAL2	ST3GAL2
TFAP2D	TFAP2D
GTF2A2	GTF2A2
